              precision    recall  f1-score   support

     negatif       1.00      1.00      1.00         1
      netral       0.00      0.00      0.00         3
     positif       0.84      1.00      0.91        16

    accuracy                           0.85        20
   macro avg       0.61      0.67      0.64        20
weighted avg       0.72      0.85      0.78        20
